wavelength;value (M1);value (M2);value (M3);value (M4);value (m5);value (M6)
319;0.10833;0.05633;0.03633;0.03067;0.02967;0.02233
320;0.10767;0.056;0.03633;0.03067;0.029;0.02233
321;0.10733;0.05567;0.036;0.03033;0.02967;0.02233
322;0.10667;0.05567;0.03567;0.03;0.02967;0.02233
323;0.10633;0.05533;0.03567;0.02967;0.02967;0.02233
324;0.10567;0.05533;0.03567;0.02933;0.02967;0.02233
325;0.10533;0.055;0.035;0.028;0.029;0.02233
326;0.105;0.05467;0.03467;0.02767;0.02967;0.02233
327;0.10433;0.05433;0.03433;0.02733;0.02933;0.022
328;0.10333;0.05467;0.03433;0.027;0.02967;0.022
329;0.103;0.05367;0.034;0.027;0.02967;0.02267
330;0.10233;0.05367;0.033;0.02633;0.02967;0.022
331;0.102;0.05333;0.03267;0.026;0.03;0.02233
332;0.10167;0.05267;0.03267;0.02633;0.03;0.022
333;0.101;0.05267;0.03233;0.026;0.03;0.02233
334;0.10033;0.052;0.03167;0.026;0.03033;0.022
335;0.09967;0.051;0.031;0.026;0.03033;0.022
336;0.099;0.051;0.03067;0.026;0.03067;0.022
337;0.099;0.05067;0.03067;0.02567;0.031;0.02133
338;0.099;0.05067;0.03033;0.026;0.03133;0.02133
339;0.09833;0.05067;0.03067;0.026;0.03167;0.02133
340;0.098;0.05067;0.03;0.02633;0.031;0.02067
341;0.09767;0.05067;0.03;0.026;0.031;0.02033
342;0.097;0.05033;0.03;0.026;0.03067;0.02033
343;0.097;0.05033;0.03;0.02633;0.03067;0.02033
344;0.09667;0.05133;0.03033;0.02633;0.03067;0.02033
345;0.09633;0.05067;0.03033;0.026;0.03;0.01967
346;0.096;0.051;0.03033;0.026;0.02933;0.01967
347;0.09567;0.051;0.03033;0.026;0.02867;0.019
348;0.09533;0.051;0.03033;0.026;0.028;0.01867
349;0.09567;0.05133;0.031;0.026;0.028;0.01933
350;0.09533;0.05133;0.031;0.026;0.02767;0.01867
351;0.095;0.05133;0.031;0.026;0.027;0.01867
352;0.09533;0.05167;0.03133;0.026;0.02667;0.01867
353;0.095;0.052;0.031;0.02567;0.026;0.01867
354;0.09467;0.05167;0.031;0.02567;0.02533;0.01867
355;0.09533;0.05233;0.03133;0.02533;0.02533;0.01867
356;0.095;0.05267;0.03133;0.02533;0.025;0.01867
357;0.095;0.05267;0.03133;0.025;0.02467;0.01867
358;0.095;0.053;0.03133;0.025;0.02433;0.01867
359;0.09433;0.05267;0.03133;0.025;0.02433;0.019
360;0.09467;0.05267;0.03133;0.025;0.02433;0.019
361;0.09467;0.05267;0.03133;0.025;0.02433;0.019
362;0.09467;0.05233;0.03133;0.02433;0.02367;0.019
363;0.094;0.05233;0.031;0.024;0.02367;0.019
364;0.094;0.05167;0.03133;0.02467;0.024;0.02
365;0.09433;0.05133;0.03133;0.02433;0.02433;0.02
366;0.094;0.05133;0.03133;0.02433;0.02467;0.02033
367;0.094;0.05067;0.03133;0.02367;0.02467;0.02033
368;0.094;0.05033;0.03067;0.02367;0.024;0.02067
369;0.094;0.04967;0.031;0.023;0.02433;0.02067
370;0.094;0.04867;0.031;0.02267;0.02433;0.02067
371;0.09333;0.04767;0.02967;0.02133;0.023;0.01967
372;0.09367;0.04767;0.02967;0.021;0.023;0.01967
373;0.09033;0.046;0.027;0.01933;0.02033;0.015
374;0.09067;0.046;0.02733;0.019;0.02033;0.01567
375;0.09;0.04467;0.02633;0.018;0.01933;0.01367
376;0.09;0.04567;0.02533;0.018;0.01867;0.01367
377;0.09;0.046;0.02633;0.019;0.02033;0.01467
378;0.08933;0.045;0.02733;0.019;0.02033;0.01533
379;0.089;0.04433;0.02767;0.01867;0.02033;0.015
380;0.08867;0.045;0.02533;0.018;0.01967;0.014
381;0.08867;0.046;0.02567;0.019;0.02067;0.015
382;0.08833;0.04567;0.02733;0.01967;0.02133;0.016
383;0.088;0.04567;0.027;0.01933;0.02133;0.016
384;0.08733;0.04533;0.02667;0.01867;0.021;0.01533
385;0.08733;0.04533;0.027;0.01933;0.021;0.016
386;0.08667;0.045;0.027;0.01933;0.02133;0.016
387;0.08667;0.045;0.02633;0.019;0.021;0.01567
388;0.08633;0.04533;0.02667;0.01933;0.02067;0.016
389;0.08633;0.045;0.02633;0.01867;0.02067;0.01567
390;0.08633;0.045;0.02633;0.019;0.02133;0.01567
391;0.086;0.045;0.02633;0.019;0.021;0.01567
392;0.08567;0.045;0.02633;0.01867;0.02067;0.01533
393;0.08567;0.045;0.02633;0.01867;0.02067;0.01533
394;0.08567;0.04433;0.026;0.01867;0.02067;0.015
395;0.08533;0.045;0.026;0.01867;0.02067;0.015
396;0.08533;0.04433;0.026;0.01867;0.02033;0.01533
397;0.085;0.04433;0.026;0.01867;0.02033;0.015
398;0.08533;0.04433;0.02567;0.01867;0.02033;0.01467
399;0.08533;0.04433;0.026;0.01867;0.02;0.01467
400;0.085;0.04433;0.026;0.01867;0.02067;0.01467

